Tree_ID,Easting,Northing,first_year,nests_at_first
057742f8d10d,518757,173399,2017,8
057cd7b26d74,518844,172057,2017,1
058120a71f6c,520517,173616,2019,14
058b7de70475,521245,173634,2014,1
05a725fef907,519068,171027,2017,1
05a739bd223c,519887,174057,2014,5
05aa8c40f83d,520955,174306,2019,20
05b3bf1f2c95,519700,171858,2015,3
05c374c475c1,519327,172467,2019,5
05ce5deabd29,518682,172527,2016,2
0615b55bbd99,519516,170982,2014,5
062b6a86fda3,519493,170823,2013,1
0630d23a59f9,519792,172042,2015,2
0642dd0b9e85,519851,174140,2020,4
064432da66e6,519097,171227,2013,1
064dfab058ad,519844,173419,2020,2
0659e1c471e4,520510,174090,2013,2
066383bf6275,519938,173322,2018,9
06642cf3602b,519822,172072,2019,1
067942c94e3d,519163,171509,2013,3
0688921ba242,519934,171837,2017,2
06a3712e323c,518786,172236,2014,1
06a453d46930,518773,172812,2016,8
06b070ff6d76,518605,172704,2019,2
06b871023ff1,520168,171402,2016,24
06bd5d2a3d03,519491,172219,2017,33
06c0d5fc1a8b,521719,173122,2015,2
06c182fc4812,519865,173959,2020,4
06c210efe6a6,519040,172266,2017,5
06c337355029,518730,172802,2019,1
06e450e5092d,519312,173752,2014,10
06e5ce970f94,518565,173489,2013,4
06e753e248a8,518762,172762,2018,1
06f0c6a1fb9c,519638,171110,2014,4
06f84789faf3,518568,172753,2014,23
06fb397ab1a7,520475,172719,2014,2
070168fd0fe9,520433,171610,2013,1
07058b0b8e41,520402,173690,2013,6
0705973ddca8,519829,172050,2020,2
0709e1c77da4,521026,172895,2014,3
070be07fa017,519780,171619,2015,1
0719904f8af8,518990,172211,2018,26
071ba22a1aa4,519800,171999,2015,3
071f03741b3e,521247,172353,2020,1
072e7b917136,519395,172648,2019,20
073ec47fdb0a,521327,173346,2014,2
074926e72298,519176,170742,2017,1
074db104c588,519176,173900,2019,2
07515559a1dd,520686,174061,2015,1
075689184b14,520574,174506,2020,4
07777833fdec,520602,174005,2013,5
0785bd711ca2,520834,174436,2019,4
0795a5222d79,521272,172940,2014,6
07a82d1bc03a,519410,170911,2013,4
07ab4404eeff,519143,171863,2014,1
07bb29819e0f,519767,173933,2014,1
07c64927877a,520096,171773,2014,7
07d435b172ed,519656,171208,2015,1
07e21352a759,518740,172548,2017,1
07ee34b61ffb,519193,172597,2014,3
07f2d2af1e36,519432,172927,2017,2
083784ed8318,519642,172961,2015,2
083956ce34ac,520162,171505,2014,7
0839d73b8e2c,519955,173410,2015,8
0849a9b10637,519127,172767,2014,1
087799f3db2f,519655,171505,2013,1
0883fe504716,520682,174060,2013,3
088695c55a63,519746,173973,2014,1
089d73c3dbac,519640,171203,2015,2
08a494994e6d,518937,172224,2014,1
08acbedb50be,520586,173481,2018,2
08b10d55d7de,519140,170746,2019,1
08c568b6a149,522227,173170,2015,6
08c5695b3f5b,520034,171938,2017,2
08ce09db0921,519056,171053,2020,2
08d1ae563bc2,519064,170965,2014,1
08dbe7bd7430,519955,171419,2017,55
08e4e9a605c8,518501,172679,2015,2
08e548266740,518666,172830,2020,6
08eb4ba23bcc,519160,172673,2019,10
08ec798f493c,521024,172900,2017,14
08ed3c130930,520783,173541,2017,2
08f7be4cc638,518620,173641,2019,17
09019eb26591,519061,171099,2013,6
09086a551f13,520692,173352,2016,1
0912a5bb845a,519580,170836,2019,2
091cffde8d90,522118,173362,2013,1
094767b77501,519477,172069,2017,3
0963f6f7767a,521161,172463,2016,34
097b88b45e7d,521113,172214,2015,1
098cdd514116,519523,170908,2014,5
09916746cdbf,519316,170544,2013,1
09a36019480e,519195,172596,2016,1
09a84a8d8219,519989,171135,2015,1
09a9f4962bfb,521106,172334,2020,2
09aee5b4f462,519233,174088,2017,3
09b53c454c53,519576,170908,2019,7
09b7bd54319f,519073,170988,2017,1
09befe261f1a,519953,173340,2018,10
09cc145dad30,519559,173466,2018,11
09e06ae7ce2f,519812,174023,2014,1
09e0c5ae89e7,519015,172236,2018,23
09e3575e4412,519095,171376,2014,1
09e5242417c3,520793,172065,2015,3
09ecdc44b7c1,519596,171159,2020,1
09f4d4068563,518511,173036,2013,2
09f7de1c5ff2,520791,173196,2013,2
09fdfa3bd08f,519218,170587,2014,8
09ff5e7f330a,519182,172307,2014,1
09ffcebfb6e6,519025,172212,2017,19
0a01eaf85160,519355,171119,2015,1
0a029e22424c,519363,172897,2020,12
0a066e9e5ff2,520861,172378,2014,2
0a2a9494dabc,522250,173119,2015,3
0a2b52c71b61,519084,170894,2014,6
0a354445e9c6,519168,170919,2017,1
0a420f299744,520565,174044,2013,3
0a4bab825d5b,519851,171747,2015,3
0a5ab63cf516,519133,171341,2015,1
0a746f26b0db,518763,172455,2017,1
0a75b9889bad,519884,171004,2015,16
0a79c05c76a8,520951,172126,2016,55
0a827ec10750,519100,171622,2019,4
0a8f153b3aee,521062,173447,2020,2
0aa414d12e9d,520884,172402,2020,1
0aadd05423a9,520741,171854,2020,3
0ab1f114d5bb,521391,173280,2014,6
0ac66130a901,521247,173646,2018,1
0ad7d8eb9a35,519734,174112,2013,9
0ad96827ea93,520215,172540,2013,6
0ae39db4d441,519442,173637,2018,1
0aee771d3822,520542,174024,2013,6
0af2dd9e318c,519677,170765,2014,1
0afc88cea9b6,519735,172041,2019,3
0b0711cd6467,521297,173857,2018,6
0b0f48e08835,521020,173673,2018,4
0b126937d620,519947,174401,2020,2
0b1e8612031b,518965,171805,2018,2
0b37a38be914,519552,173443,2014,2
0b5691d50751,520977,172220,2016,30
0b5ab2157bc9,521235,172861,2014,6
0b5e28560378,518725,172912,2015,1
0b5f9a978dae,519110,171662,2016,11
0b645165c2ef,520160,173721,2020,22
0b6934b59d17,518659,173059,2013,1
0b6aec5326f5,520381,173227,2020,2
0b6af9c0a34c,520771,174222,2017,3
0b7cc6b95bf1,519258,171734,2013,3
0b871f780108,520821,174443,2020,2
0b8c5893a20d,519816,171632,2019,2
0b918b8ed853,519448,171670,2014,2
0b9e45e2155a,521194,173507,2018,6
0ba7c23fae8b,519490,171035,2014,2
0bb64b170595,519642,171106,2014,2
0bbe13442040,519639,171498,2014,1
0bbe1ee3d84e,519466,173494,2017,1
0bc2bf13d1d7,519642,171993,2015,1
0bd1199d67ab,520220,173309,2014,1
0c01c05584ac,519583,171904,2018,3
0c046c617c2b,519705,173900,2015,3
0c0512337fcc,521250,172561,2015,23
0c1567329100,519486,173691,2014,1
0c3156163d79,521073,173480,2020,2
0c35bc932824,519937,173924,2014,1
0c36b12452d2,519529,172693,2017,2
0c37f60b0f87,519570,170616,2013,1
0c3a408e5806,520560,174070,2013,13
0c537fe8c2d9,519009,173772,2019,9
0c548d467d04,519551,171690,2014,3
0c64f071f077,520261,173904,2013,2
0c6693e23021,521281,172351,2020,4
0c7778a73f69,519241,171935,2017,22
0c87985138b9,519709,171467,2014,1
0c8a56c1dfbd,520127,173871,2020,4
0c944cc1ad2c,520516,173965,2013,1
0c968ccaa233,519232,174046,2014,2
0ca7a12a52d4,519719,172008,2015,1
0cab3e12cf09,520936,173589,2020,13
0caff0e3ca84,518565,173439,2014,1
0cb23416af5e,518939,173794,2020,3
0cc2b2bb54fb,518659,172718,2019,4
0cca41785f0e,518827,172587,2014,3
0cde370a05aa,520524,173250,2020,7
0ce3cfc294f9,518590,173224,2020,2
0cf9997ab940,518791,172737,2014,2
0cfcfd402127,521163,173167,2015,2
0d07cc1ebb95,518767,172489,2017,8
0d11aa996ea1,519964,173296,2018,1
0d12228a41d4,519979,171890,2017,1
0d30290d0cf7,519892,173858,2013,3
0d34c6f4ec5b,519731,173936,2014,1
0d427c8d8a87,518784,172357,2014,7
0d4423cc2158,519419,170731,2014,1
0d484d218a21,521092,172933,2017,74
0d4ee5dd6288,520369,173377,2013,2
0d50ba043632,519448,174443,2020,1
0d5c1b412c1a,519966,173304,2017,8
0d880b3b6db6,520187,172732,2020,4
0d9be2126a49,519807,173880,2013,2
0d9ddc982d8d,519744,172054,2019,1
0da26902728f,521172,173265,2014,1
0da3549340a3,521506,172823,2013,1
0da52a21ea54,518758,172810,2013,1
0dad9e635772,519415,173771,2017,1
0db173356130,521350,173472,2016,2
0db385561f60,520129,171377,2016,13
0db9b2148b59,519576,173435,2018,24
0dc6acd45e70,519565,173455,2020,2
0dd7c7e6e92b,520591,172908,2014,2
0df01b24c8eb,519705,171885,2014,1
0df95ee4edcf,519502,172697,2020,4
0dfaa8f16dd5,521178,173125,2020,1
0dfb3396bbed,520482,171667,2015,1
0e01eb57efd8,519947,172428,2020,1
0e0f3d15e67f,518712,173035,2013,2
0e191ed467a5,518850,172169,2018,1
0e19363c1c60,519137,172640,2013,1
0e2bd4b59269,519855,174450,2013,6
0e2d9f4f8732,519167,170770,2017,1
0e38288cac2c,519655,172860,2018,3
0e514edc5804,521133,172205,2016,4
0e53ba6431fc,520965,172105,2015,11
0e57d6e5ec34,519020,171183,2013,12
0e5a689e06de,520563,174462,2013,2
0e6f1f4a3cec,519841,173679,2019,5
0e7e85cbf076,519725,174468,2020,1
0eab7ee6145e,519427,170747,2014,3
0eb4fa4b0a59,520209,172592,2016,1
0ecf20315028,519749,172035,2019,1
0ed18c475bfe,518806,172716,2019,2
0edb828b88bc,519718,171972,2015,2
0edc511ece1d,518479,173046,2014,7
0ee2682bfb43,519622,171461,2020,1
0ee37de1fa1c,519086,170965,2019,2
0ee48345a7d5,521135,172372,2013,1
0ee7ca856390,520045,172550,2014,1
0ef3ec37b382,519454,170809,2013,1
0ef50cdb9326,519500,172554,2017,13
0eff465e06f8,518477,173036,2014,2
0f124a4c419d,520529,172877,2019,1
0f138c08c8c9,519721,170867,2016,4
0f13fae2772f,519596,171933,2019,2
0f1dca63c749,520850,172386,2014,7
0f2ae2efd27a,521342,173448,2020,2
0f2cce776b96,518529,172643,2015,1
0f2fd0515998,519132,171475,2013,1
0f3eed7c5c5f,519340,172867,2020,27
0f54f81b72c5,518950,173800,2014,1
0f5e41fee778,519972,173943,2020,4
0f5eedc7a0b2,520152,172488,2013,1
0f78fbb2fc75,518838,172558,2020,1
0f7a977ae815,519831,171939,2014,1
0f7ab7733a92,519098,171613,2013,16
0f804f6fefdb,519657,171136,2014,14
0f8b41eec7bb,520253,172689,2014,1
0f939d47fd20,520238,171492,2015,16
0f963fc3bf61,519828,173946,2014,10
0f990d48a936,520238,172580,2017,2
0fa5efee0d1e,519652,173512,2020,1
0fab73270499,520772,174221,2015,40
0fbe6a07e386,520049,171357,2020,2
0fbee8765288,519359,172566,2019,11
0fc4f21a74f6,519725,172876,2020,1
0fcb403385cd,521234,172867,2017,27
0fcb7f0752b4,520584,173238,2017,6
0fdb1d505878,519882,173526,2020,2
0fe7a9935d95,519494,170810,2013,1
0ff3b3c175f2,521216,173560,2019,1
10081c114f8c,519661,173861,2019,4
100c6fde2597,519074,171596,2013,7
1012957b02d0,520472,173400,2013,5
101e8f6bf1a7,518301,172948,2014,1
1034eefae177,519728,170903,2014,1
1038c9c2df18,519424,170767,2014,1
103dbec3743d,519020,171187,2013,8
103de02f370a,520390,173466,2020,12
10446b9cd903,519232,174101,2020,1
1045f4940334,519444,173498,2015,10
1048fc590131,521222,173526,2019,7
1050bb239d43,521256,173659,2013,1
10535845b056,519969,171260,2014,8
105a0d5380e7,520785,174462,2020,11
1062d97de48e,519651,173108,2017,50
106ca94e58d0,521088,174253,2017,2
10819f89b26e,521005,173486,2020,1
108b1f916918,519913,173473,2019,5
10962367bbe9,521566,173588,2015,6
10a1af4f15be,520829,173407,2013,1
10a53d7da801,520187,174349,2014,20
10a921a6a37a,520826,174471,2020,5
10b4f5ac9156,519528,171917,2018,3
10ba3ae54803,520378,173213,2020,15
10bc950a3678,521113,173109,2017,1
10c7b741882c,520267,174406,2014,2
10cb6b71680e,521204,173991,2013,5
10d448789cdc,519377,172855,2020,12
10d5cbbd8754,519680,172931,2018,3
10d69f5e86c6,520240,171764,2015,23
10e401b8d746,520532,173813,2015,23
10e4566afeac,520873,172660,2014,6
10e8b783eb97,519331,172460,2019,19
10ed13adad07,519271,170529,2020,2
10edbec3805d,519134,170919,2019,2
10fdcd1beb08,519963,173813,2018,3
10feb8d6fcb6,520006,171853,2015,1
1100586565cb,519417,174207,2019,5
1107fc48a7db,519561,172011,2020,1
110dd9365cda,518693,172495,2016,4
111019de9578,521008,174119,2014,2
11105b3be7d7,519131,170959,2019,3
11146f38f562,519781,171854,2017,1
1118ccf53110,519954,173787,2020,5
112ee29211e1,520574,173993,2020,2
1136ae2f08ef,519392,173742,2016,3
113cc20a4acc,520808,174290,2013,11
1145578ed141,519172,171965,2018,25
1146627aa8b6,518754,172462,2016,1
114815737535,521495,173170,2016,1
114d0fdbfc98,519553,171174,2016,1
1151f7d30cfb,518694,173390,2014,5
1154973f4fdc,520369,173260,2020,43
117c7d743c60,518917,172633,2019,34
1184c04679a7,519030,171201,2013,2
11873e11d779,519924,173303,2018,3
118cfa76f6a0,520735,172166,2017,13
1193c787e164,521333,173198,2018,2
1194e59b0983,519507,170954,2014,2
1199ecef6bf8,519769,171862,2018,3
11a2c752f113,519052,171038,2017,1
11b1b367f329,520036,172679,2013,2
11b2edfc84ea,519999,173874,2020,2
11b4cf31977f,520921,172675,2013,2
11bc2a1ea0b5,519793,172050,2014,1
11cc86eeffe9,519449,170804,2014,2
11d58b77c8f3,518292,172988,2015,1
11ef1f07ae93,518718,172688,2014,1
11efd1d738e0,519825,174435,2015,19
11f0f7e4e978,520313,173400,2013,1
11ffb6e1d4ba,519864,171337,2015,3
1203724f64a7,519940,171669,2015,3
1203c2b43e91,519727,173474,2014,2
12104207d1a9,520822,172201,2020,4
1212eb0235ac,520327,174443,2014,6
122f00d4161c,520590,171849,2016,3
1230621395ad,519753,170824,2015,3
12339f227572,519739,173863,2015,1
1255ebf1e8e4,519417,170743,2014,10
127491000140,519479,173849,2014,1
12756d90c55e,518885,171724,2015,4
12809bf0646c,519304,172533,2019,67
128814079f09,519549,172687,2018,3
129954b8e67f,519229,170617,2014,6
129f8a46cb89,520284,172717,2016,19
12a7eaadf114,518639,172469,2020,1
12aa645b2771,521305,173224,2017,2
12c86a448818,519596,171513,2020,2
12ed2dce8d68,518428,172736,2015,13
1306aba3850c,519707,173430,2019,15
1309b6d22a7d,519913,171221,2015,5
13147d2b5967,521239,172363,2015,10
1319190f97d0,521046,173024,2017,3
13216a3c304f,518570,172756,2015,30
1327546c8518,519493,172722,2014,1
1332cbb46882,518862,171956,2017,10
13362c17770a,519445,174121,2014,2
13490e3ed74c,521185,173175,2015,1
138136cfe1b1,519027,171175,2013,2
139d0753c5ec,520752,172159,2017,109
139fc624d1f3,519112,173781,2015,4
13a37383fdd6,520341,172632,2013,1
13bd8ce10847,521358,173510,2019,6
13c0399b41c6,520838,172197,2018,25
13c0a8a1fa90,520951,174353,2020,12
13c463656fc3,519231,174045,2018,2
13d218ee5ece,519701,173433,2015,1
13d8069bd85b,520998,172712,2020,1
13db3931e5ef,518615,172953,2019,2
13e25441df03,520059,173349,2015,13
13ecdc9af774,519007,171194,2013,5
13ee0da6677e,518697,172888,2015,1
13f26ddd8ae5,519863,171415,2017,2
13ff3c2c177e,519427,170925,2013,4
13ff90a35ce8,520785,174472,2013,1
140b24fb4685,518984,173846,2020,1
14176150ead9,519892,171014,2015,32
141dd9f9a9d3,521074,173371,2020,3
1438ef46ac74,519855,171627,2017,4
143fce76e665,518798,172622,2014,3
144a3eb3fdd7,519972,171956,2014,1
144b9c0f0cfb,520542,171805,2014,1
144cad97f722,519505,172704,2014,6
144f2732b128,519538,172694,2017,3
1452603bf3e2,518757,172812,2016,2
1454661fcda7,518791,172711,2019,1
145e68f823ad,518346,173207,2013,16
146319812d7d,520043,171961,2014,1
14656a18bf0d,519938,173774,2014,2
146d63091341,519869,171832,2017,1
147d17a6df50,519751,172013,2014,1
147f996aad4e,519983,171127,2014,2
148c527c3a28,519733,174116,2018,6
149022c800d6,521238,173651,2019,2
1490e3e612a2,520611,172529,2013,4
149a45675dcc,519930,171577,2014,2
149aeba00c26,519471,172828,2015,2
149deab063a8,519492,171049,2013,3
14b4dc554a62,519047,170997,2015,8
14b58939f601,520072,172483,2015,1
14b87e8da1ad,520892,174374,2020,7
14badadb5074,518276,173059,2014,2
14c3fcf05c08,519596,172877,2013,4
14c59c491ce0,520667,172092,2017,26
14cd8a35401c,519820,170928,2015,6
14d15c09c8d3,519438,170788,2014,2
150448e69af8,520279,171726,2015,18
1504d65b6e57,519626,171821,2019,1
1511b4b7727f,520807,172389,2013,7
1511de07a81a,519547,172646,2014,3
1516dfc9c79f,518936,172187,2014,22
151ae46d8955,518816,173210,2013,1
15258dbd9cc9,520438,173529,2013,2
1528cbc28048,521241,173572,2014,8
1532c072382b,519353,171135,2015,7
1533c5ff0c17,519059,170963,2015,8
153da2ca309c,521024,173513,2015,3
15405cd63a24,519483,172726,2014,2
15457358092d,518625,173031,2018,2
154cd1915da7,518647,173467,2020,3
155a44306a15,518743,173164,2013,1
156444110e5f,519401,170791,2013,1
1565dd87789a,520091,171414,2014,1
156b0146bbaf,519659,173130,2017,39
157428e1a625,520043,171809,2015,1
1579d097d740,518658,172421,2020,3
1585eb502101,520633,173522,2017,13
15973ba2f535,519301,172789,2016,1
159b5744fb74,521302,173120,2017,1
159f95346366,519197,170781,2014,1
15a1e9fa3c79,519837,172217,2015,4
15ab913e9fbb,519720,171777,2018,1
15b01954c062,521120,172340,2014,10
15b929c216a9,519907,171087,2014,11
15be843a2eaa,520746,172390,2013,1
15c4259c5bfc,519113,174307,2015,5
15d69c1b915c,518692,172511,2015,28
15e836a64927,518736,172549,2015,1
1607e0ceb0e2,519208,173852,2013,1
160c87cc4eb5,519802,172902,2013,2
160e19654013,520312,173401,2019,2
1616a2401993,519925,171990,2020,1
16236d775c02,520004,172036,2017,2
1625da28234d,518960,174215,2013,4
162ac2c200fa,519932,172238,2015,2
162ad8228090,519981,171955,2014,2
163562c90f77,518972,171318,2013,3
164469ac33e6,520111,171338,2020,9
1646f302de11,520905,172717,2014,2
1656b7545a58,519598,173672,2014,1
16676a02b68d,521061,172947,2017,10
166a9bfe841a,520227,172703,2016,6
166f825dc24c,519752,172046,2015,1
167daedcf37a,518699,172554,2018,8
1686d0b60848,520931,174321,2019,11
168df1db0a71,519612,173410,2018,17
16944f709540,519958,172240,2019,6
16959e2579da,521017,172226,2016,9
169faf70a8f6,521279,174122,2013,2
16a5f245a6ae,521244,172418,2016,1
16abdba34156,520463,172737,2015,2
16b0890d0523,520560,172726,2014,6
16b9eefa1a70,520767,174220,2019,333
16ba99111afd,519365,171018,2015,1
16c003099865,520632,173522,2017,6
16c6962c3e04,520020,172751,2015,5
16d385b392dd,518608,173134,2020,4
16d6e160d3a7,519671,172002,2019,3
16dcb3fbc37f,520315,174477,2014,1
16df6343d1e6,519237,171085,2018,2
16f57d7b7987,520603,173993,2014,10
16f64c0f67f4,519609,171647,2020,2
16f75b2fe9c7,519582,173454,2014,4
16fb42b2ed4d,519781,174037,2013,2
170f682f4666,520568,173516,2015,10
171101fb6d00,519430,170753,2014,2
1712cf7197c0,519493,171654,2018,26
17221459f025,519960,171157,2014,5
17364f2c1860,521202,173573,2014,4
17443639776c,521262,173063,2019,1
17519598680a,519772,173311,2017,8
1751fba0686e,519021,171230,2015,4
17572464b96a,520177,174290,2020,2
1773a6d2ea69,519642,173466,2015,29
1775e187cd81,520063,171943,2015,1
177a1aac2dd1,518645,173542,2018,2
177fe43df0af,519973,173415,2014,6
17a0da4780da,518721,173366,2014,1
17af17c4361b,520622,172611,2014,3
17b08f22e90d,520741,174238,2013,5
17b61660182d,521349,173242,2014,1
17b67cd07b5f,518565,173656,2014,2
17c784881f68,520284,173300,2016,1
17ccc92ceeb0,519628,173320,2016,2
17cd14714059,520193,172693,2014,2
17d2897963ec,520561,173986,2014,28
17d86eec6226,519294,170501,2020,4
17e755a1d3ec,519465,170830,2014,1
17ee7877a65c,520242,171872,2020,5
17f10fd3750e,518648,173563,2014,1
17f3b8de8f9e,521187,172526,2014,1
180206139988,520462,171635,2014,3
18161c4d520c,519012,171189,2020,2
18179fe4e2e4,519930,171769,2016,1
182ab8cac3af,520514,174036,2020,2
182acb435081,521201,173405,2019,4
182b86d61273,521063,173471,2020,1
183c17282621,519050,173776,2019,6
1853f878456a,519525,172063,2014,2
1855ea35f89f,519517,172648,2019,8
185cc1f8797e,519501,172703,2016,11
1867ef86d9fd,519592,171142,2014,4
1869b61772ed,521165,172393,2015,1
18849b8259a2,519169,170709,2014,4
188d770b005e,519079,171027,2017,1
188e0b479a44,521251,172733,2013,1
18909927802d,520965,172211,2016,9
18920ae466a1,519600,171717,2015,5
189a8e64ca67,520510,174015,2013,8
18c404e03a2f,519035,171095,2014,8
18de3743176b,519760,173865,2014,4
18deee671712,519648,173143,2017,37
18deefbcf99c,520645,172987,2014,1
18ef2ec8385a,519950,171434,2020,3
18f9b7cb0c70,519646,172020,2019,5
19152d30e0bb,519573,171606,2020,25
1918a4f0b442,519480,172760,2020,1
1936caa51f4c,519409,170764,2014,5
1941c8e06837,519902,171877,2017,1
19429dbaafd6,519827,171080,2020,4
19489509860e,519877,171305,2014,6
19513feceed4,519895,173985,2014,2
195bec73c38a,519315,173753,2018,5
19613ce1be6a,519508,171127,2013,1
1962f9234911,519801,172901,2013,1
1972b4f2545b,520169,174262,2013,7
1977bad9c724,518467,172695,2019,2
197f6644d04d,519926,173979,2014,1
19862df4f94e,518919,171499,2013,1
19a2cd1672df,520215,171475,2015,15
19a3b9f6200c,520330,173347,2020,6
19a82e1fda46,518811,172638,2014,2
19a83cdb6844,521173,174067,2013,4
19a9f0ea60a4,518627,173548,2016,2
19abcb7fba58,519057,171058,2017,1
19b18cc99247,519119,171332,2013,1
19b349d30ea2,519982,173876,2013,2
19e1ef74a76b,520453,172700,2014,1
19e6dd2ab162,519772,172039,2015,3
19e7716d0fc8,518793,172251,2014,2
19ec0d19c804,519840,171093,2020,3
19ee94c8f699,520011,172674,2018,5
19f5d2b5faa5,518802,173465,2017,16
1a0d29cc4230,518690,173604,2014,1
1a0dec3dbd43,520731,174274,2020,26
1a1d451fc511,520182,171603,2015,20
1a227f50d643,519240,172795,2015,1
1a2cb2b2fbab,519408,172847,2017,11
1a5986f2239d,520487,171660,2015,3
